Museen,Staedte,Webseiten
Goethe-Museum Düsseldorf Schloß Jägerhof- Anton-und-Katharina-Kippenberg-Stiftung,Düsseldorf,www.goethe-museum.com/
Heinrich-Heine-Institut,Düsseldorf,www.duesseldorf.de/heineinstitut
Hetjens- Deutsches Keramikmuseum,Düsseldorf,www.duesseldorf.de/hetjens
Kunsthalle Düsseldorf gGmbH,Düsseldorf,www.kunsthalle-duesseldorf.de
Kunstsammlung Nordrhein-Westfalen,Düsseldorf,www.kunstsammlung.de
Museum und Archiv zur Geschichte der Urologie,Düsseldorf,www.museum.dgu.de
NRW Forum Düsseldorf,Düsseldorf,www.nrw-forum.de
Philara,Düsseldorf,www.philara.de
Stadtmuseum Düsseldorf,Düsseldorf,www.duesseldorf.de/stadtmuseum/
Stiftung Museum Kunstpalast,Düsseldorf,www.kunstpalast.de
Stiftung Schloss und Park Benrath,Düsseldorf,www.schloss-benrath.de
Theatermuseum der Landeshauptstadt Düsseldorf,Düsseldorf,www.duesseldorf.de/theatermuseum
Heimatmuseum Ebern,Ebern,www.heimatmuseum-ebern.de
Museum Wald und Umwelt,Ebersberg,www.museumwaldundumwelt.de
Museum Eberswalde,Eberswalde,www.museum-eberswalde.de
Museum Eckernförde,Eckernförde,www.museum-eckernfoerde.de
Zinngrube Ehrenfriedersdorf,Ehrenfriedersdorf,https://web.saechsisches-industriemuseum.com/ehrenfriedersdorf.html
Museum Schloss Fasanerie,Eichenzell,www.schloss-fasanerie.de
Domschatz- und Diözesanmuseum Eichstätt,Eichstätt,www.bistum-eichstaett.de/dioezesanmuseum
Kulturstiftung Kornhaus,Einbeck,www.ps-speicher.de
Bachhaus Eisenach,Eisenach,www.bachhaus.de
Wartburg-Stiftung Eisenach,Eisenach,www.wartburg.de
Dokumentationszentrum Alltagskultur der DDR,Eisenhüttenstadt,www.alltagskultur-ddr.de
Moor- und Fehnmuseum Elisabethfehn,Elisabethfehn,www.fehnmuseum.de
Kulturzentrum Ostpreussen,Ellingen,www.kulturzentrum-ostpreussen.de
Alamannenmuseum Ellwangen,Ellwangen,www.alamannenmuseum-ellwangen.de
Industriemuseum Elmshorn,Elmshorn,www.industriemuseum-elmshorn.de
Kunsthalle Emden,Emden,www.kunsthalle-emden.de
Ostfriesisches Landesmuseum Emden,Emden,www.landesmuseum-emden.de
LVR-Industriemuseum Kraftwerk Ermen & Engels,Engelskirchen,www.industriemuseum.lvr.de/kraftwerkermenengels
Widukind Museum Enger,Enger,www.widukind-museum-enger.de
Museum Erding,Erding,www.museum-erding.de
Angermuseum,Erfurt,www.angermuseum.de
Gedenk- und Bildungsstätte Andreasstraße Erfurt,Erfurt,www.stiftung-ettersberg.de
Geschichtsmuseen der Landeshauptstadt Erfurt,Erfurt,www.stadtmuseum-erfurt.de
Naturkundemuseum Erfurt,Erfurt,www.naturkundemuseum-erfurt.de
Stiftung Deutsches Gartenbaumuseum,Erfurt,www.gartenbaumuseum.de
Planetarium der Sternwarte Neanderhöhe,Erkrath-Hochdahl,www.snh.rp-online.de
Kunstpalais,Erlangen,www.kunstpalais.de
Siemens Healthcare GmbH Siemens Med Museum,Erlangen,www.medmuseum.siemens.com
Stadtmuseum Erlangen,Erlangen,www.erlangen.de/stadtmuseum
Naturparkzentrum und Dinosaurierpark Teufelsschlucht,Ernzen,www.dinosaurierpark-teufelsschlucht.de
Stiftung Ruhr Museum,Essen,www.ruhrmuseum.de
Museen der Stadt Esslingen,Esslingen a. Neckar,www.museen-esslingen.de
Museum Ettlingen,Ettlingen,www.ettlingen.de
LVR-Industriemuseum Tuchfabrik Müller,Euskirchen,www.industriemuseum.lvr.de/tuchfabrikmueller
Stadtmuseum Euskirchen,Euskirchen,www.kulturhof.de/museum
Ostholstein-Museum,Eutin,www.oh-museum.de
Schloss Eutin,Eutin,www.schloss-eutin.de
Galileo Wissenswelt,Fehmarn,www.galileo-fehmarn.de
Fränkisches Museum Feuchtwangen,Feuchtwangen,www.fraenkisches-museum.de
Sängermuseum Feuchtwangen,Feuchtwangen,www.saengermuseum.de
FilderStadtMuseum,Filderstadt,https://www.filderstadt.de/start/tourismus/filderstadtmuseum.html
Gedenkstätte „Wege der Erinnerung“,Filderstadt,https://www.filderstadt.de/start/bildung/Gedenkstaette+KZ+Aussenlager.html
Serigrafie-Museum Filderstadt,Filderstadt,https://www.filderstadt.de/start/tourismus/Sammlung+Domberger.html
Städtische Galerie Filderstadt,Filderstadt,https://www.filderstadt.de/start/bildung/Staedtische+Galerie.html
Zweckverband Niederbayerische Freilichtmuseen/ Freilichtmuseum Finsterau,Finsterau,www.freilichtmuseum.de
Sänger- und Kaufmannsmuseum,Finsterwalde,https://www.museumsverbund-lkee.de/Museumsverbund/Snger-und-Kaufmannsmuseum/
Fränkisches Freilandmuseum Fladungen,Fladungen,www.freilandmuseum-fladungen.de
Rhönmuseum,Fladungen,www.rhoenmuseum.de
Flensburger Schifffahrtsmuseum,Flensburg,www.schifffahrtsmuseum.flensburg.de
Museumsberg Flensburg,Flensburg,www.museumsberg.flensburg.de
Phänomenta,Flensburg,www.phaenomenta-flensburg.de
KZ-Gedenkstätte Flossenbürg,Flossenbürg,www.gedenkstaette-flossenbuerg.de
Pfalzmuseum Forchheim,Forchheim,www.forchheim.de
Erlebnismuseum ZeitWerkStadt,Frankenberg,www.zeit-werk-stadt.de
Erkenbert Museum,Frankenthal (Pfalz),www.frankenthal.de/sv_frankenthal/de/Homepage/Kultur
Städtische Museen Junge Kunst und Viadrina,Frankfurt / Oder,www.museum-viadrina.de
Stiftung Kleist-Museum,Frankfurt / Oder,www.kleist-museum.de
Archäologisches Museum Frankfurt,Frankfurt am Main,www.archaeologisches-museum.frankfurt.de
Bildungsstätte Anne Frank e.V.,Frankfurt am Main,www.bs-anne-frank.de
Deutsches Architekturmuseum,Frankfurt am Main,www.dam-online.de
DFF – Deutsches Filminstitut & Filmmuseum e.V.,Frankfurt am Main,www.deutsches-filminstitut.de
DIALOGMUSEUM gGmbH,Frankfurt am Main,www.dialogmuseum.de
EXPERIMINTA Science Center,Frankfurt am Main,www.experiminta.de
Forschungsinstitut und Naturmuseum Senckenberg,Frankfurt am Main,www.senckenberg.de
Fotografie Forum Frankfurt,Frankfurt am Main,www.fffrankfurt.org
Frankfurter Bibelgesellschaft e.V. Bibelhaus Erlebnis Museum,Frankfurt am Main,www.bibelhaus-frankfurt.de
Frankfurter Feldbahnmuseum e.V.,Frankfurt am Main,www.feldbahn-ffm.de
Freies Deutsches Hochstift / Frankfurter Goethe-Museum,Frankfurt am Main,www.goethehaus-frankfurt.de
Goldkammer Frankfurt,Frankfurt am Main,www.goldkammer.de
Heinrich-Hoffmann-Museum /Struwwelpeter Museum,Frankfurt am Main,www.struwwelpeter-museum.de
Historisches Museum,Frankfurt am Main,www.historisches-museum-frankfurt.de.
Jüdisches Museum Frankfurt,Frankfurt am Main,www.juedischesmuseum.de
Kunststiftung DZ BANK,Frankfurt am Main,kunststiftungdzbank.de
MMK Museum für Moderne Kunst,Frankfurt am Main,www.mmk-frankfurt.de
Museum Angewandte Kunst,Frankfurt am Main,www.museumangewandtekunst.de
Museum für Kommunikation Frankfurt,Frankfurt am Main,www.mfk-frankfurt.de
Museum Giersch der Goethe-Universität,Frankfurt am Main,www.museum-giersch.de
Weltkulturen Museum,Frankfurt am Main,www.weltkulturenmuseum.de
Glasmuseum Fraunau- Staatliches Museum zur Geschichte der Glaskultur,Frauenau,glasmuseum-frauenau.de
Naturmuseum Thurgau,Frauenfeld,www.naturmuseum.tg.ch
Stadt- und Bergbaumuseum Freiberg,Freiberg,www.museum-freiberg.de
terra mineralia,Freiberg,www.terra-mineralia.de
Städtische Museen Freiburg Archäologisches Museum/Colombischlössle,Freiburg,www.museen.freiburg.de
Städtische Museen Freiburg/ Augustinermuseum,Freiburg,www.augustinermuseum.de
Städtische Museen Freiburg/ Museum für Neue Kunst,Freiburg,www.museen.freiburg.de
Städtische Museen Freiburg/ Museum Natur und Mensch,Freiburg,www.grafischewerkstatt.de/adelhausermuseum/
PEAC Museum,Freiburg i. Br.,https://www.peac.digital/
Schafhof – Europäisches Kunstforum Oberbayern,Freising,www.schafhof-kunstforum.de
Bauernmuseum Bamberger Land,Frensdorf,www.bauernmuseum-frensdorf.de
Technikmuseum Freudenberg,Freudenberg,www.technikmuseum-freudenberg.de
Friedrich-Ludwig-Jahn-Museum,Freyburg,www.jahn-museum.de
Kloster Zscheiplitz,Freyburg/Zscheiplitz,www.zscheiplitz.com
Museum im Wittelsbacher Schloss,Friedberg,www.museum-friedberg.de
Wetterau-Museum,Friedberg,www.wetterau-museum.de
Museum Friedland,Friedland,www.museum-friedland.de
Magistrat der Stadt Friedrichsdorf Philipp-Reis-Haus,Friedrichsdorf,www.friedrichsdorf.de
Dornier Museum Friedrichshafen,Friedrichshafen,www.dorniermuseum.de
Schulmuseum Friedrichshafen,Friedrichshafen,www.schulmuseum-fn.de
Zeppelin-Museum Friedrichshafen,Friedrichshafen,www.zeppelin-museum.de
Otto-von-Bismarck-Stiftung,Friedrichsruh,www.bismarck-stiftung.de
Stiftung Museum Fritzlar,Fritzlar,zur%20Zeit%20geschlossen
Dommuseum Fulda,Fulda,www.bistum-fulda.de
Vonderau Museum,Fulda,www.museum-fulda.de
Museum Schloss Fürstenberg,Fürstenberg,www.fuerstenberg-schloss.com
Jüdisches Museum Franken,Fürth,www.juedisches-museum.org
Rundfunkmusem der Stadt Fürth,Fürth,www.rundfunkmuseum.fuerth.de
Stadtmuseum Fürth,Fürth,www.stadtmuseum-fuerth.de
Deutsches Uhrenmuseum,Furtwangen,www.deutsches-uhrenmuseum.de
Unimog-Museum,Gaggenau,www.unimog-museum.de
Museum Haus Dix,Gaienhofen-Hemmenhofen,https://www.kunstmuseum-stuttgart.de/museum-haus-dix
Jüdisches Museum Gailingen,Gailingen,www.jm-gailingen.de
Museum Aschenbrenner,Garmisch-Partenkirchen,www.museum-aschenbrenner.de
Emsland Moormuseum,Geeste,www.moormuseum.de
Kunstmuseum Gelsenkirchen,Gelsenkirchen,www.kunstmuseum-gelsenkirchen.de
Stadtmuseum Gerlingen,Gerlingen,www.gerlingen.de/stadtmuseum
Deutsches Segelflugmuseum mit Modellflug,Gersfeld/Rhön,www.segelflugmuseum.de
Ballonmuseum Gersthofen,Gersthofen,www.stadt-gersthofen.de/FREIZEIT7BALLONMUSEUM
Westfälisches Glockenmuseum Gescher,Gescher,www.glockenmuseum-gescher.de
Museum Oberschönenfeld,Gessertshausen,www.museum-oberschoenenfeld.de
Kunsthalle Gießen,Gießen,www.kunsthalle-giessen.de
Mathematikum Gießen,Gießen,www.mathematikum.de
Oberhessisches Museum,Gießen,www.giessen.de
Museen des Landkreises Gifhorn,Gifhorn,www.museen-gifhorn.de
Deutsches Uhrenmuseum Glashütte,Glashütte,www.uhrenmuseum-glashuette.com
Keltenwelt am Glauberg,Glauburg,www.keltenwelt-glauberg.de
Museum für Kunst und Kulturgeschichte Goch,Goch,www.museum-goch.de
Kulturstiftung Sachsen-Anhalt,Gommern,www.kulturstiftung-st.de
Kunsthalle Göppingen,Göppingen,www.kunsthalle-goeppingen.de
Märklineum,Göppingen,www.maerklineum.com
Städtisches Museum Göppingen im „Storchen“,Göppingen,www.goeppingen.de
Görlitzer Sammlungen für Geschichte und Kultur,Görlitz,www.goerlitzer-sammlungen.de
Schlesisch-Oberlausitzer Museumsverbund gGmbH,Görlitz,www.oberlausitz-museum.de
Schlesisches Museum zu Görlitz,Görlitz,www.schlesisches-museum.de
Senckenberg Museum für Naturkunde Görlitz,Görlitz,www.senckenberg.de/goerlitz
Weltkulturerbe Erzbergwerk Rammelsberg Goslar GmbH,Goslar,www.rammelsberg.de
Stiftung Schloss Friedenstein Gotha,Gotha,www.stiftungfriedenstein.de/
Geowissenschaftliches Museum der Universität Göttingen,Göttingen,www.geomuseum.uni-goettingen.de
Kunsthaus Göttingen,Göttingen,www.kunsthaus-goettingen.de
Landschaftsverband Südniedersachsen e.V.,Göttingen,www.landschaftsverband.org
Städtisches Museum Göttingen,Göttingen,www.museum.goettingen.de
Niederrheinisches Freilichtmuseum,Grefrath,www.niederrheinisches-freilichtmuseum.de
Pommersches Landesmuseum,Greifswald,www.pommersches-landesmuseum.de
Villa Erckens – Museum der Niederrheinischen Seele,Grevenbroich,www.museum-villa-erckens.de
Museum Göschenhaus – Seume – Gedenkstätte,Grimma,www.goeschenhaus.de
Wilhelm Ostwald Park,Grimma,www.wilhelm-ostwald-park.de
Museum Synagoge Gröbzig,Gröbzig,www.synagoge-groebzig.de
rock’n’popmuseum,Gronau,www.rock-popmuseum.de
Stadtmuseum Groß-Gerau,Groß-Gerau,www.gross-gerau.de
Museum Alte Lateinschule,Großenhain,www.museum.grossenhain.de
Deutsches Damast- und Frottiermuseum Großschönau,Großschönau,www.ddfm.de
Freilichtmuseum Glentleiten,Großweil,www.glentleiten.de
Maritime Landschaft Unterelbe,Grünendeich,www.maritime-elbe.de
Siebenbürgisches Museum Gundelsheim,Gundelsheim,www.siebenbuergisches-museum.de
Heimatmuseum Günzburg,Günzburg,www.guenzburg.de
Ernst-Barlach-Stiftung,Güstrow,www.Ernst-Barlach-Stiftung.de
Museum der Barlachstadt Güstrow,Güstrow,www.guestrow.de
Schwarzwälder Freilichtmuseum- Vogtsbauernhof,Gutach/Schwarzwaldbahn,www.vogtsbauernhof.de
Peter-August-Böckstiegel-Stiftung,Gütersloh,www.boeckstiegel-haus.de
Stadtmuseum Gütersloh,Gütersloh,www.stadtmuseum-guetersloh.de
Kulturzentrum Haus der Donauschwaben,Haar,www.donauschwaben.bayern
Landschaftsmuseum Westerwald,Hachenburg,www.landschaftsmuseum-westerwald.de
Emil Schumacher Museum,Hagen,www.esmh.de
LWL-Freilichtmuseum Hagen Landesmuseum für Handwerk u. Technik,Hagen,www.lwl-freilichtmuseum-hagen.de
Domschätze Halberstadt und Quedlinburg,Halberstadt,www.die-domschaetze.de
Gleimhaus. Museum der deutschen Aufklärung,Halberstadt,www.gleimhaus.de
Museen der Stadt Halberstadt,Halberstadt,ww.halberstadt.de
Museum Haldensleben,Haldensleben,www.museumhaldensleben.de
Hallesches Salinemuseum e.V.,Halle,www.salinemuseum.de
Kunstverein “Talstraße” e.V.,Halle,www.kunstverein-talstrasse.de
Stadtmuseum Halle,Halle,www.stadtmuseumhalle.de
Graf-Luckner-Museum,Halle (Saale),www.luckner-gesellschaft.de/luckner-museum
Franckesche Stiftungen zu Halle,Halle/Saale,www.francke-halle.de
Landesamt für Denkmalpflege und Archäologie Sachsen-Anhalt-Landesmuseum für Vorgeschichte,Halle/Saale,www.lda-lsa.de
LWL-Römermuseum,Haltern am See,www.lwl-roemermuseum-haltern.de
Archäologisches Museum Hamburg,Hamburg,www.amh.de
Bucerius Kunst Forum,Hamburg,www.buceriuskunstforum.de
Bundeskanzler-Helmut-Schmidt-Stiftung,Hamburg,https://www.helmut-schmidt.de/ausstellungen/schmidt-demokratie-leben
"Deutsche Arbeitsgemeinschaft von Sportmuseen, Sportarchiven und Sportsammlungen e.V.",Hamburg,www.dags-ev.de
Ernst Barlach Haus,Hamburg,www.barlach-haus.de
Forum für Künstlernachlässe e.V.,Hamburg,www.kuenstlernachlaesse.de
"Freie und Hansestadt Hamburg Kulturbehörde Referat Museen, Planetarium",Hamburg,www.hamburg.de/bkm/
Hamburger Kunsthalle,Hamburg,www.hamburger-kunsthalle.de
HSV-Museum,Hamburg,www.hsv-museum.de
Internationales Maritimes Museum Hamburg,Hamburg,www.internationales-maritimes-museum.de/
MARKK – Museum am Rothenbaum,Hamburg,www.markk-hamburg.de
Medizinhistorisches Museum Hamburg,Hamburg,www.uke.de/medizinhistorisches-museum.de
Miniatur Wunderland,Hamburg,www.miniatur-wunderland.de
Montblanc Haus,Hamburg,https://www.montblanc.com/de-de/discover/montblanc-haus/inspire-writing
Museum für Kunst und Gewerbe,Hamburg,www.mkg-hamburg.de
Panik City Betriebs GmbH,Hamburg,www.panikcity.de
PANOPTIKUM – Wachsfigurenkabinett,Hamburg,https://www.panoptikum.de/
PANOPTIKUM – Wachsfigurenkabinett,Hamburg,www.panoptikum.de
Polizeimuseum Hamburg,Hamburg,www.polizeimuseum.hamburg.de
Speicherstadtmuseum,Hamburg,www.speicherstadtmuseum.de
Stiftung Hamburger Gedenkstätten,Hamburg,https://www.gedenkstaetten-hamburg.de/de/
Stiftung Historische Museen Hamburg Museum für Hamburgische Geschichte,Hamburg,www.hamburgmuseum.de
Stiftung Ohm,Hamburg,www.siftung-ohm.de
Stiftung Wasserkunst- Elbinsel Kaltehofe,Hamburg,www.wasserkunst-hamburg.de
Universitätsmuseum Hamburg,Hamburg,www.uni-hamburg.de/unimuseum
Museumsverein Hameln e.V.,Hameln,www.museum-hameln.de
Gustav-Lübcke-Museum,Hamm,www.hamm.de/gustav-luebcke-museum
Historisches Museum Hanau – Schloss Philippsruhe,Hanau,www.museen-hanau.de
Hessisches Puppen- und Spielzeugmuseum,Hanau-Wilhelmsbad,www.hessisches-puppenmuseum.de
Städtisches Museum Hann. Münden,Hann. Münden,www.hann.muenden.de/kultur/museum
Kestnergesellschaft e.V.,Hannover,www.kestnergesellschaft.de
Landesmuseum Hannover,Hannover,www.landesmuseum-hannover.de
Museen für Kulturgeschichte Hannover,Hannover,www.hannover-museum.de
Museum für Energiegeschichte(n)- Avacon AG,Hannover,www.energiegeschichte.de
Sprengel Museum Hannover,Hannover,www.sprengel-museum.de
Veterinärmedizinhistorisches Museum,Hannover,www.vethis.de
Wilhelm Busch- Deutsches Museum für Karikatur und Zeichenkunst,Hannover,www.karikatur-museum.de
Heimatverein Haselünne e.V.,Haselünne,www.heimatverein-haseluenne.de
Stadtmuseum Hattingen,Hattingen,www.stadtmuseum.hattingen.de
Granitzentrum Bayerischer Wald,Hauzenberg,granitzentrum.de
Annette von Droste Hülshoff-Stiftung,Havixbeck,www.burg-huelshoff.de
Baumberger Sandstein-Museum,Havixbeck,www.sandsteinmuseum.de
Museumsinsel Lüttenheid,Heide,www.heide.de
Carl Bosch Museum gGmbH,Heidelberg,www.carl-bosch-museum.de
Deutsches Apotheken-Museum,Heidelberg,www.deutsches-apotheken-museum.de
Dokumentations- und Kulturzentrum Deutscher Sinti und Roma,Heidelberg,www.sintiundroma.de
Kurpfälzisches Museum der Stadt Heidelberg,Heidelberg,www.museum-heidelberg.de
Stiftung Reichspräsident Friedrich-Ebert-Gedenkstätte,Heidelberg,www.ebert-gedenkstaette.de
Zoologisches Museum der Universität Heidelberg,Heidelberg,www.rzuser.uni-heidelberg.de/~g52/
Experimenta gGmbH,Heilbronn,www.experimenta.science
Städtische Museen Heilbronn,Heilbronn,www.museen-heilbronn.de
Historisches Museum Hellental,Heinade-Hellental,historisches-museum-hellental.de
Deutsches Burgenmuseum,Heldburg,www.deutschesburgenmuseum.de
Verein Oberfränkisches Textilmuseum,Helmbrechts,www.textilmuseum.de
Kultur-und Heimathaus Stadt Blankenberg,Hennef,www.stadtblankenberg.de
Keltenmuseum Heuneburg,Herbertingen,www.heuneburg.de
Marta Herford,Herford,www.marta-herford.de
Städtisches Museum,Herford,www.poeppelmannhaus.de
Flugausstellung Peter Junior,Hermeskeil,www.flugausstellung.de
Emschertal-Museum Schloß Strünkede und Städtische Galerie,Herne,www.emschertal-museum.herne.de
LWL-Museum für Archäologie,Herne,www.lwl-landsmuseum-herne.de
Freilichtmuseum Klausenhof,Herrischried,www.freilichtmuseum-klausenhof.de
Dommuseum Hildesheim,Hildesheim,www.dommuseum-hildesheim.de
Hochheimer Museen,Hochheim am Main,www.hochheim.de
Museum Bayerisches Vogtland,Hof,www.museum-hof.de
Stadtmuseum Hofheim am Taunus,Hofheim am Taunus,www.hofheim.de
"Ballenberg, Freilichtmuseum der Schweiz",Hofstetten bei Brienz,www.ballenberg.ch
Museum der Bayerischen Könige,Hohenschwangau,www.museumderbayerischenkoenige.de
Keramikmuseum Westerwald,Höhr-Grenzhausen,www.keramikmuseum.de
Kunstmuseum Schloss Derneburg,Holle,www.sdmuseum.de
Urweltmuseum Hauff,Holzmaden,www.urweltmuseum.de
DA Kunsthaus Kloster Gravenhorst,Hörstel,www.da-kunsthaus.de
Otto Pankok Museum,Hünxe,www.pankok-museum-esselt.de
Bayerisches Schulmuseum Ichenhausen,Ichenhausen,www.schulmuseum-ichenhausen.de
Deutsches Edelsteinmuseum,Idar-Oberstein,www.edelsteinmuseum.de
Deutsches Mineralienmuseum,Idar-Oberstein,www.deutsches-mineralienmuseum.de
Museum Illertissen,Illertissen,www.illertissen.de
Stiftung Monumenta Vitruvii,Ilmenau-Stützerbach,www.monumenta-vitruvii.de
Allgäuer Bergbauernmuseum,Immenstadt,www.bergbauernmuseum.de
Museum bei der Kaiserpfalz,Ingelheim am Rhein,www.museum-ingelheim.de
Museum OBENTRAUT3,Ingelheim-Großwinternheim,www.kunstimaltenweingut.de
Bayerisches Armeemuseum,Ingolstadt,www.armeemuseum.de
Deutsches Medizinhistorisches Museum,Ingolstadt,www.dmm-ingolstadt.de
Museum für Konkrete Kunst,Ingolstadt,www.mkk-ingolstadt.de
Zentrum Stadtgeschichte Ingolstadt,Ingolstadt,https://zentrumstadtgeschichte.ingolstadt.de
Kunstraum Innsbruck,Innsbruck,www.kunstraum-innsbruck.at
Tiroler Landesmuseen,Innsbruck,www.tiroler-alndesmuseen.at
Freilandmuseum Kirchenburg Mönchsondheim,Iphofen,www.kirchenburgmuseum.de
Knauf-Museum Iphofen,Iphofen,www.knauf-museum.de
Städtische Museen Iserlohn,Iserlohn,www.museen-iserlohn.de
Kallmann-Museum Ismaning,Ismaning,www.kallmann-museum.de
Schlossmuseum Ismaning,Ismaning,www.schlossmuseum-ismaning.de
Kreismuseum Prinzeßhof,Itzehoe,www.kreismuseum-prinzesshof.de/
Wenzel-Hablik-Museum,Itzehoe,www.wenzel-hablik.de
Deutsches Optisches Museum,Jena,www.deutsches-optisches-museum.de
"Institut für Geschichte der Medizin, Naturwissenschaft und Technik Ernst-Haeckel-Haus",Jena,www.ehh.uni-jena.de/Institut.html
Lehrstuhl für Klassische Archäologie der Friedrich-Schiller Universität Jena,Jena,www.gw.uni-jena.de/klassische-archaeologie
Städtische Museen,Jena,www.museen-jena.de
Kunststätte Bossard,Jesteburg,www.bossard.de
Schlossmuseum Jever,Jever,www.schlossmuseum.de
Museum im Mönchenkloster,Jüterbog,www.jueterbog.de
Museum Pfalzgalerie Kaiserslautern,Kaiserslautern,www.mpk.de
Museum der Westlausitz Kamenz,Kamenz,www.museum-westlausitz.de
Städtische Sammlungen Kamenz,Kamenz,www.städtische-sammlungen-kamenz.de
Haus im Moos,Karlshuld,https://www.haus-im-moos.de/
Badisches Landesmuseum Karlsruhe,Karlsruhe,www.landesmuseum.de
Museum für Literatur am Oberrhein,Karlsruhe,www.literaturmuseum.de
Staatliche Kunsthalle Karlsruhe,Karlsruhe,www.kunsthalle-karlsruhe.de
Staatliches Museum für Naturkunde Karlsruhe,Karlsruhe,www.smnk.de
Städtische Galerie Karlsruhe,Karlsruhe,www.staedtische-galerie.de
Stiftung Forum Recht,Karlsruhe,www.stiftung-forum-recht.de
ZKM – Zentrum für Kunst und Medien,Karlsruhe,www.zkm.de
documenta,Kassel,www.documenta.de
Grimmwelt Kassel,Kassel,www.grimmwelt.de
Henschel-Museum + Sammlung e.V.,Kassel,www.henschel-museum.net
Hessen Kassel Heritage,Kassel,www.heritage-kassel.de
Museum Fridericianum,Kassel,www.fridericianum.org
Museum für Sepulkralkultur- Zentralinstitut für Sepulkralkultur,Kassel,www.sepulkralmuseum.de
Naturkundemuseum im Ottoneum,Kassel,www.naturkundemuseum-kassel.de
Stadtmuseum Kassel,Kassel,www.stadtmuseum-kassel.info
Technik-Museum Kassel,Kassel,www.tmkkassel.de
Kunsthaus Kaufbeuren,Kaufbeuren,www.kunsthaus-kaufbeuren.de
Stadtmuseum Kaufbeuren,Kaufbeuren,www.stadtmuseum-kaufbeuren.de
Stadtmuseum Kelkheim,Kelkheim,www.kelkheim.de
Städtisches Kramer-Museum,Kempen,https://www.kempen.de/kultur-tourismus-freizeit/kultur-kempen/museen-ausstellungen
Kemptener Museen,Kempten,www.museen-kempten.de
Niederrheinisches Museum für Volkskunde und Kulturgeschichte e.V. Kevelaer,Kevelaer,www.niederrheinisches-museum-kevelaer.de
Kunsthalle zu Kiel,Kiel,www.kunsthalle-kiel.de
Schleswig-Holst. Landesbibliothek,Kiel,www.shlb.de
Zoologisches Museum Der Universität Kiel,Kiel,www.uni-kiel.de/zoologisches-museum
Städtisches Museum im Kornhaus,Kirchheim,www.kirchheim-teck.de/de/entdecken/In+und+um+Kirchheim/Museen+und+Galerien
Städtisches Museum Kitzingen,Kitzingen,www.museum.kitzingen.info
Museum Kurhaus Kleve- Ewald Mataré-Sammlung,Kleve,www.museumkurhaus.de
Freilichtmuseum Klockenhagen,Klockenhagen,www.freilichtmuseum-klockenhagen.de
Hennebergisches Museum Kloster Veßra,Kloster Veßra,www.museumklostervessra.de
Faust-Museum und Faust-Archiv,Knittlingen,www.knittlingen.de
Landesmuseum Koblenz,Koblenz,www.landesmuseum-koblenz.de
Mittelrhein-Museum,Koblenz,www.mittelrhein-museum.de
Rhein-Museum Koblenz,Koblenz,www.rhein-museum.de
Franz Marc Museum,Kochel am See,www.franz-marc-museum.de
Deutsches Sport & Olympia Museum,Köln,www.sportmuseum.de
DOMID- Dokumentationszentrum und Museum über die Migration in Deutschland e.V.,Köln,www.domid.org
Käthe Kollwitz Museum Köln,Köln,www.kollwitz.de
Kölner Domschatzkammer,Köln,www.koelner-domschatzkammer.de
Kölner Karnevalsmuseum,Köln,www.kk-museum.de
Kölnisches Stadtmuseum,Köln,www.koelnisches-stadtmuseum.de
Kolumba Kunstmuseum des Erzbistums Köln,Köln,www.kolumba.de
